,file_name,mean,std,min,max
106,202207020610.nc,0.21462017,1.0346206,0.0,96.72
107,202207260540.nc,0.23143882,1.0471174,0.0,96.31
108,202107230740.nc,0.7008705,3.6194377,0.0,99.4
109,202308150040.nc,0.31670007,1.7591988,0.0,98.1
110,202306201640.nc,0.706781,2.1338813,0.0,99.29
111,202308012030.nc,0.3023937,1.8080765,0.0,98.92
112,202307141640.nc,0.86263865,4.3729277,0.0,99.7
113,202206270640.nc,0.94911736,2.111299,0.0,98.5
114,202306031900.nc,0.116157405,0.68380964,0.0,98.32
115,202308121350.nc,0.17471635,0.8651565,0.0,94.29
116,202306111430.nc,0.3781291,1.0517858,0.0,80.25
117,202209071850.nc,0.20036592,1.9055648,0.0,98.59
118,202306101210.nc,0.8137111,1.9644871,0.0,98.1
119,202208132130.nc,0.42202455,2.184849,0.0,99.7
120,202207271640.nc,0.2117546,1.1659988,0.0,98.17
121,202106090200.nc,0.2908447,0.91146624,0.0,99.4
122,202307051200.nc,0.18265502,1.275993,0.0,97.93
123,202307180820.nc,0.3367336,1.6281042,0.0,96.4
124,202207232140.nc,0.4022485,1.9313774,0.0,99.49
125,202209061730.nc,0.109951764,1.0630164,0.0,99.54
126,202208070500.nc,0.49939108,1.8007231,0.0,99.7
127,202106040830.nc,0.4462402,1.2763395,0.0,99.4
128,202206221000.nc,0.39410096,1.1420797,0.0,94.53
129,202106221950.nc,0.22803643,0.80952764,0.0,36.85
130,202306072200.nc,0.69510025,1.9095607,0.0,99.7
131,202307111230.nc,0.32003394,1.4113168,0.0,98.1
132,202306011800.nc,0.6030361,1.8841623,0.0,85.619995
133,202207260640.nc,0.29770473,1.1246797,0.0,98.1
134,202307182100.nc,0.2842436,1.2941414,0.0,99.02
135,202207071820.nc,0.28375944,1.429286,0.0,97.0
136,202207192040.nc,0.5503344,4.210185,0.0,99.24
137,202208270130.nc,0.3459103,1.7133071,0.0,97.729996
138,202107241950.nc,0.54283583,1.4342966,0.0,82.65
139,202207210400.nc,0.42860594,2.1382773,0.0,98.36
140,202307290850.nc,0.44422808,1.147854,0.0,99.7
141,202106271640.nc,0.5392685,1.3162651,0.0,99.4
142,202308032140.nc,0.14883384,0.9629948,0.0,98.1
143,202106250350.nc,0.46507826,1.4305462,0.0,99.47
144,202208211040.nc,0.15444247,1.0095028,0.0,99.25
145,202208310220.nc,0.28901485,1.2260485,0.0,91.74
146,202208310010.nc,0.35999465,1.7739493,0.0,98.17
147,202307190220.nc,0.19713534,1.0027599,0.0,99.439995
148,202207142100.nc,0.6564243,2.7470763,0.0,99.7
